season,game_type,week,away_team,away_score,home_team,home_score,result,total,overtime,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,home_team_win,home_win_pct,home_ppg,home_opp_ppg,home_third_down_pct,home_third_down_stop_pct,home_sacks_per_game,home_turnover_diff,away_win_pct,away_ppg,away_opp_ppg,away_third_down_pct,away_third_down_stop_pct,away_sacks_per_game,away_turnover_diff
2019,REG,5,IND,19,KC,13,-6,32,0,407,-504,10.5,-111,101,55.5,106,-118,0,1.0,33.75,23.5,0.4192963469279259,0.5889423076923077,2.75,0.5,0.5,23.5,25.5,0.42505656108597284,0.594551282051282,2.25,-0.5
2019,REG,5,GB,34,DAL,24,-10,58,0,162,-181,3.5,-113,102,46.5,-107,-104,0,0.75,26.75,14.0,0.48412004662004665,0.766677807486631,2.5,-0.25,0.75,21.25,17.25,0.2996031746031746,0.6067370537958774,3.0,1.0
2019,REG,5,DEN,20,LAC,13,-7,33,0,199,-226,4.0,102,-113,46.0,101,-113,0,0.5,22.5,18.5,0.4691338073691015,0.5283216783216783,2.25,0.25,0.0,17.5,23.25,0.3778138528138528,0.6408730158730158,1.25,-1.25
2019,REG,5,NE,33,WAS,7,-26,40,0,-963,695,-15.5,-112,101,42.0,-109,-102,0,0.0,16.5,29.5,0.23797348484848482,0.41355580693815985,1.25,-0.75,1.0,30.5,6.75,0.4076797385620915,0.8903508771929826,4.5,2.0
2019,REG,5,BUF,14,TEN,7,-7,21,0,162,-182,3.5,-110,-101,39.5,-101,-111,0,0.5,22.75,15.5,0.27754884004884006,0.743379169849758,3.25,1.75,0.75,19.0,15.75,0.31943933259722734,0.7115429505135388,1.75,-0.5
2019,REG,5,BAL,26,PIT,23,-3,49,1,-179,160,-3.5,102,-113,44.0,-108,-103,0,0.25,19.0,22.0,0.253525641025641,0.594047619047619,3.5,1.0,0.5,33.75,25.0,0.4557692307692307,0.6765151515151515,2.0,-0.25
2019,REG,5,NYJ,6,PHI,31,25,37,0,587,-782,14.0,-109,-101,43.0,-105,-106,1,0.5,27.5,26.25,0.5107376283846872,0.6286931818181818,0.75,0.0,0.0,11.0,23.333333333333332,0.17429193899782133,0.6419489007724302,1.6666666666666667,0.6666666666666666
2019,REG,5,CHI,21,OAK,24,3,45,0,-266,232,-6.5,-101,-110,39.5,-106,-105,1,0.5,19.75,25.5,,,,0.0,0.75,16.5,11.25,0.3339932126696833,0.7532467532467532,4.25,1.5
2019,REG,5,MIN,28,NYG,10,-18,38,0,-243,213,-5.5,-116,105,44.0,-105,-106,0,0.5,21.75,24.25,0.324025974025974,0.671969696969697,2.5,-1.25,0.5,21.0,15.75,0.4048451548451549,0.7416221033868093,2.75,0.0
2019,REG,5,TB,24,NO,31,7,55,0,133,-148,3.0,-118,107,46.0,-102,-109,1,0.75,21.0,23.0,0.3645833333333333,0.6462912087912087,2.5,1.0,0.5,30.75,29.25,0.3455128205128205,0.7035714285714286,2.75,0.75
2019,REG,5,ATL,32,HOU,53,21,85,0,184,-207,4.0,-101,-109,49.0,-110,-101,1,0.5,19.5,19.5,0.4064338235294118,0.6139705882352942,3.25,0.5,0.25,17.5,24.75,0.34464701964701966,0.5679112554112553,1.25,-1.25
2019,REG,5,JAX,27,CAR,34,7,61,0,169,-189,3.0,119,-131,41.0,-110,-101,1,0.5,23.75,20.0,0.35861742424242427,0.6546881910659,4.5,-0.75,0.5,21.0,21.0,0.2791666666666667,0.6204587895764366,3.25,-0.75
2019,REG,5,LA,29,SEA,30,1,59,0,111,-122,1.5,-104,-106,49.0,102,-113,1,0.75,25.75,22.25,0.3388392857142857,0.7220695970695972,2.5,-0.5,0.75,29.25,26.0,0.3728853383458647,0.5872252747252746,2.5,-0.75
2019,REG,6,HOU,31,KC,24,-7,55,0,166,-186,3.5,-108,-103,54.5,-108,-103,0,0.8,29.6,22.6,0.39257993468519786,0.6086538461538462,2.2,0.4,0.6,26.2,22.0,0.4789932126696833,0.5852941176470589,3.0,0.8
2019,REG,6,CIN,17,BAL,23,6,40,0,425,-531,10.5,-106,-104,47.0,-108,-103,1,0.6,32.2,24.6,0.4396153846153846,0.6812121212121213,1.8,-0.4,0.0,16.0,27.2,0.34165991902834003,0.6135531135531135,1.2,-0.6
2019,REG,6,DET,22,GB,23,1,45,0,176,-198,3.5,-102,-108,47.0,100,-111,1,0.8,23.8,18.6,0.2771825396825397,0.6353896430367019,3.0,1.4,0.75,24.25,23.75,0.362062937062937,0.5809787683189218,2.25,1.0
2019,REG,6,PIT,24,LAC,17,-7,41,0,220,-252,6.0,-115,104,42.5,-105,-106,0,0.4,20.6,18.8,0.42864037922861453,0.5765034965034965,2.4,0.0,0.2,19.8,22.8,0.26282051282051283,0.6002380952380952,3.8,1.0
2019,REG,6,DAL,22,NYJ,24,2,46,0,-316,270,-7.0,-100,-110,43.5,102,-113,1,0.0,9.75,25.25,0.18071895424836598,0.6481283422459894,1.5,-0.5,0.6,26.2,18.0,0.4372960372960373,0.7758422459893047,2.4,-0.8
