season,game_type,week,away_team,away_score,home_team,home_score,result,total,overtime,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,home_team_win,home_win_pct,home_ppg,home_opp_ppg,home_third_down_pct,home_third_down_stop_pct,home_sacks_per_game,home_turnover_diff,away_win_pct,away_ppg,away_opp_ppg,away_third_down_pct,away_third_down_stop_pct,away_sacks_per_game,away_turnover_diff
2025,REG,3,LA,26,PHI,33,7,59,0,164,-198,3.5,-108,-112,45.5,-108,-112,1,1.0,22.0,18.5,0.4639423076923077,0.575,1.0,1.0,1.0,23.5,14.0,0.44166666666666665,0.7326203208556149,4.0,0.5
2025,REG,3,PIT,21,NE,14,-7,35,0,-120,100,-1.5,-105,-115,44.5,-112,-108,0,0.5,23.0,23.5,0.4166666666666667,0.6547619047619048,4.5,0.5,0.5,25.5,31.5,0.3137254901960784,0.5357142857142857,1.5,0.5
2025,REG,3,CIN,10,MIN,48,38,58,0,136,-162,3.0,-110,-110,41.5,-105,-115,1,0.5,16.5,23.0,0.26666666666666666,0.7053571428571428,2.5,-0.5,1.0,24.0,21.5,0.4642857142857143,0.5323886639676114,1.5,0.5
2025,REG,3,HOU,10,JAX,17,7,27,0,105,-125,1.5,-108,-112,43.5,-115,-105,1,0.5,26.5,20.5,0.4391025641025641,0.5357142857142857,2.0,1.5,0.0,14.0,17.0,0.20202020202020202,0.5523809523809524,3.5,-0.5
2025,REG,3,GB,10,CLE,13,3,23,0,-470,360,-8.5,-102,-118,41.5,-115,-105,1,0.0,16.5,29.0,0.42105263157894735,0.6346153846153846,3.0,-2.0,1.0,27.0,15.5,0.37412587412587417,0.6944444444444444,4.0,0.5
2025,REG,3,ATL,0,CAR,30,30,30,0,-225,185,-5.5,-105,-115,44.5,-115,-105,1,0.0,16.0,26.5,0.381578947368421,0.6553030303030303,0.5,-1.5,0.5,21.0,14.5,0.375,0.5833333333333334,3.5,0.5
2025,REG,3,MIA,21,BUF,31,10,52,0,550,-800,12.5,-110,-110,50.5,-112,-108,1,1.0,35.5,25.0,0.3415032679738562,0.7692307692307692,3.0,1.0,0.0,17.5,33.0,0.41666666666666663,0.475,2.0,-2.0
2025,REG,4,CIN,3,DEN,28,25,31,0,360,-470,7.5,-115,-105,44.5,-115,-105,1,0.3333333333333333,22.666666666666668,21.333333333333332,0.2901412313177019,0.6416720534367593,4.0,0.3333333333333333,0.6666666666666666,19.333333333333332,30.333333333333332,0.39285714285714285,0.5930210140736457,2.0,-1.3333333333333333
2025,REG,4,NYJ,21,MIA,27,6,48,0,124,-148,2.5,-105,-115,44.5,-120,100,1,0.0,18.666666666666668,32.333333333333336,0.5,0.4681818181818182,2.0,-1.6666666666666667,0.0,23.0,31.0,0.25757575757575757,0.7241830065359478,2.0,-1.3333333333333333
2025,REG,4,GB,40,DAL,40,0,80,1,-345,275,-7.0,-105,-115,47.5,-115,-105,0,0.3333333333333333,24.666666666666668,30.666666666666668,0.38352007469654525,0.471062271062271,1.3333333333333333,-1.6666666666666667,0.6666666666666666,21.333333333333332,14.666666666666666,0.38830613830613836,0.726120857699805,3.3333333333333335,0.3333333333333333
2025,REG,4,CHI,25,LV,24,-1,49,0,105,-125,1.5,-110,-110,47.5,-105,-115,0,0.3333333333333333,17.666666666666668,24.666666666666668,0.3333333333333333,0.6666666666666666,2.3333333333333335,-0.3333333333333333,0.3333333333333333,25.333333333333332,31.0,0.42857142857142855,0.7285714285714285,1.6666666666666667,0.6666666666666666
2025,REG,4,BAL,20,KC,37,17,57,0,-148,124,-2.5,-120,100,48.5,100,-120,1,0.3333333333333333,20.0,18.666666666666668,0.3499183006535948,0.6988636363636364,2.3333333333333335,0.3333333333333333,0.3333333333333333,37.0,32.0,0.3974358974358974,0.580896686159844,1.0,0.0
2025,REG,4,JAX,26,SF,21,-5,47,0,150,-180,3.5,-120,100,45.5,-108,-112,0,1.0,19.666666666666668,16.333333333333332,0.3545875420875421,0.6954156954156954,1.6666666666666667,-0.3333333333333333,0.6666666666666666,23.333333333333332,17.0,0.3668091168091168,0.6071428571428571,2.0,1.6666666666666667
2025,REG,4,IND,20,LA,27,7,47,0,154,-185,3.5,-105,-115,49.5,-105,-115,1,0.6666666666666666,24.333333333333332,20.333333333333332,0.3713675213675214,0.7026992615227909,4.0,0.3333333333333333,1.0,34.333333333333336,18.666666666666668,0.3834757834757834,0.6079545454545454,2.3333333333333335,1.6666666666666667
2025,REG,4,PHI,31,TB,25,-6,56,0,-185,154,-3.5,-102,-118,44.5,-118,-102,0,1.0,24.0,22.0,0.3761904761904762,0.7100168350168351,2.6666666666666665,0.6666666666666666,1.0,25.666666666666668,21.0,0.4283424908424909,0.6397435897435897,1.0,0.6666666666666666
2025,REG,4,LAC,18,NYG,21,3,39,0,-285,230,-6.0,-112,-108,43.5,-115,-105,1,0.0,17.333333333333332,27.666666666666668,0.2338118022328549,0.6143790849673203,2.6666666666666665,-0.6666666666666666,1.0,23.333333333333332,16.666666666666668,0.43464052287581695,0.7016941391941391,2.3333333333333335,0.0
2025,REG,4,CAR,13,NE,42,29,55,0,215,-265,5.5,-108,-112,42.5,-108,-112,1,0.3333333333333333,20.0,22.666666666666668,0.41111111111111115,0.6587301587301587,3.0,-1.0,0.3333333333333333,20.666666666666668,17.666666666666668,0.3210526315789473,0.6511544011544012,0.3333333333333333,0.3333333333333333
2025,REG,4,TEN,0,HOU,26,26,26,0,340,-440,7.5,-115,-105,39.5,-105,-115,1,0.0,12.666666666666666,17.0,0.218013468013468,0.6275132275132275,3.0,-1.0,0.0,17.0,31.333333333333332,0.2694327731092437,0.6693899782135077,0.6666666666666666,-0.3333333333333333
2025,REG,4,CLE,10,DET,34,24,44,0,410,-550,10.0,-108,-112,44.5,-115,-105,1,0.6666666666666666,34.333333333333336,26.0,0.41111111111111115,0.5454545454545454,3.6666666666666665,0.6666666666666666,0.3333333333333333,15.333333333333334,22.666666666666668,0.3508771929824561,0.6175213675213674,3.6666666666666665,-1.3333333333333333
2025,REG,4,NO,19,BUF,31,12,50,0,800,-1350,15.5,-115,-105,48.5,-115,-105,1,1.0,34.0,23.666666666666668,0.40948702713408597,0.6239316239316239,2.0,1.0,0.0,15.666666666666666,30.0,0.3062678062678063,0.6276094276094276,2.6666666666666665,0.0
2025,REG,4,WAS,27,ATL,34,7,61,0,120,-142,2.5,-110,-110,43.5,-112,-108,1,0.3333333333333333,14.0,19.666666666666668,0.36904761904761907,0.6555555555555556,2.6666666666666665,-1.0,0.6666666666666666,26.666666666666668,19.0,0.3425925925925926,0.7301908617698092,3.0,-0.3333333333333333
2025,REG,4,MIN,21,PIT,24,3,45,0,-148,124,-2.5,-125,105,41.5,-115,-105,1,0.6666666666666666,24.0,25.666666666666668,0.3202614379084967,0.557142857142857,2.6666666666666665,1.6666666666666667,0.6666666666666666,27.0,18.666666666666668,0.273015873015873,0.7202380952380952,3.0,1.3333333333333333
2025,REG,4,SEA,23,ARI,20,-3,43,0,-125,105,-1.5,-110,-110,43.5,-108,-112,0,0.6666666666666666,20.666666666666668,17.0,0.33535353535353535,0.7590820485557327,1.6666666666666667,0.6666666666666666,0.6666666666666666,29.333333333333332,15.666666666666666,0.3246753246753247,0.6450163398692811,2.0,0.0
2025,REG,5,NE,23,BUF,20,-3,43,0,310,-395,7.5,-105,-115,49.5,-108,-112,0,1.0,33.25,22.5,0.37529708853238264,0.6217948717948718,2.25,0.75,0.5,25.5,20.25,0.38333333333333336,0.6607142857142858,2.5,-0.75
2025,REG,5,KC,28,JAX,31,3,59,0,-198,164,-3.5,-110,-110,45.5,-108,-112,1,0.75,24.0,18.0,0.33393036701860235,0.551510989010989,1.75,2.25,0.5,24.25,19.0,0.3457720588235294,0.7059659090909092,2.5,0.75
2025,REG,5,WAS,27,LAC,10,-17,37,0,130,-155,2.5,100,-120,47.5,-115,-105,0,0.75,22.0,17.75,0.39264705882352935,0.6841653412377096,3.25,-0.5,0.5,26.75,22.75,0.28472222222222227,0.6726431463273569,2.5,-0.25
